Record Type,Shipment / Order Reference,Shipment Date,Origin Facility ID,Destination Customer / Group,Destination ZIP / Postal Code,Destination City / Region,Destination Country,State/Province,Shipments,Pallets,Units,Weight,Weight Unit,Length,Width,Height,Dimension Unit,Hazardous Materials,Transportation Mode,Transportation Cost,Transit Days,Service Level,SKU / Item,Currency
Aggregated Activity,LS-NE-001,,LS-SAMPLE,New York NY,10001,New York NY,US,NY,38,18,420,7200,lb,,,,,,Parcel,4100,,,,USD
Aggregated Activity,LS-NE-002,,LS-SAMPLE,Hoboken NJ,07030,Hoboken NJ,US,NJ,22,14,260,5600,lb,,,,,,LTL,2800,,,,USD
Individual Shipment,LS-NE-003,,LS-SAMPLE,Boston MA,02108,Boston MA,US,MA,1,1,12,420,lb,,,,,,Parcel,260,,,,USD
Aggregated Activity,LS-NE-004,,LS-SAMPLE,Philadelphia PA,19103,Philadelphia PA,US,PA,16,8,160,3100,lb,,,,,,LTL,1450,,,,USD
Individual Shipment,LS-NE-005,,LS-SAMPLE,Albany NY,12207,Albany NY,US,NY,1,1,10,360,lb,,,,,,Other,190,,,,USD
Aggregated Activity,LS-SE-001,,LS-SAMPLE,Atlanta GA,30303,Atlanta GA,US,GA,54,28,600,11600,lb,,,,,,LTL,5300,,,,USD
Individual Shipment,LS-SE-002,,LS-SAMPLE,Orlando FL,32801,Orlando FL,US,FL,1,1,9,300,lb,,,,,,Parcel,210,,,,USD
Aggregated Activity,LS-SE-003,,LS-SAMPLE,Charlotte NC,28202,Charlotte NC,US,NC,19,10,210,4200,lb,,,,,,LTL,1650,,,,USD
Individual Shipment,LS-SE-004,,LS-SAMPLE,Nashville TN,37219,Nashville TN,US,TN,1,1,14,520,lb,,,,,,Parcel,240,,,,USD
Aggregated Activity,LS-SE-005,,LS-SAMPLE,Miami FL,33101,Miami FL,US,FL,12,7,120,2800,lb,,,,,,Other,1500,,,,USD
Aggregated Activity,LS-MW-001,,LS-SAMPLE,Chicago IL,60601,Chicago IL,US,IL,30,34,280,22000,lb,,,,,,LTL,3900,,,,USD
Aggregated Activity,LS-MW-002,,LS-SAMPLE,Indianapolis IN,46204,Indianapolis IN,US,IN,14,18,130,12800,lb,,,,,,LTL,1700,,,,USD
Individual Shipment,LS-MW-003,,LS-SAMPLE,Columbus OH,43215,Columbus OH,US,OH,1,2,20,1100,lb,,,,,,Parcel,310,,,,USD
Aggregated Activity,LS-MW-004,,LS-SAMPLE,Detroit MI,48226,Detroit MI,US,MI,11,15,105,9900,lb,,,,,,LTL,1450,,,,USD
Individual Shipment,LS-MW-005,,LS-SAMPLE,Minneapolis MN,55401,Minneapolis MN,US,MN,1,1,8,500,lb,,,,,,Other,230,,,,USD
Aggregated Activity,LS-TX-001,,LS-SAMPLE,Dallas TX,75201,Dallas TX,US,TX,42,22,460,9600,lb,,,,,,LTL,3600,,,,USD
Aggregated Activity,LS-TX-002,,LS-SAMPLE,Houston TX,77002,Houston TX,US,TX,24,16,240,7000,lb,,,,,,LTL,2450,,,,USD
Individual Shipment,LS-TX-003,,LS-SAMPLE,Austin TX,78701,Austin TX,US,TX,1,1,8,260,lb,,,,,,Parcel,160,,,,USD
Aggregated Activity,LS-TX-004,,LS-SAMPLE,San Antonio TX,78205,San Antonio TX,US,TX,10,6,100,2500,lb,,,,,,Other,980,,,,USD
Individual Shipment,LS-TX-005,,LS-SAMPLE,El Paso TX,79901,El Paso TX,US,TX,1,1,10,400,lb,,,,,,Parcel,280,,,,USD
Aggregated Activity,LS-WC-001,,LS-SAMPLE,Los Angeles CA,90012,Los Angeles CA,US,CA,18,42,190,26500,lb,,,,,,LTL,5200,,,,USD
Aggregated Activity,LS-WC-002,,LS-SAMPLE,Riverside CA,92501,Riverside CA,US,CA,20,55,210,34500,lb,,,,,,LTL,6100,,,,USD
Individual Shipment,LS-WC-003,,LS-SAMPLE,San Francisco CA,94102,San Francisco CA,US,CA,1,1,9,380,lb,,,,,,Parcel,320,,,,USD
Aggregated Activity,LS-WC-004,,LS-SAMPLE,Sacramento CA,95814,Sacramento CA,US,CA,9,16,90,9800,lb,,,,,,LTL,1550,,,,USD
Individual Shipment,LS-WC-005,,LS-SAMPLE,Las Vegas NV,89101,Las Vegas NV,US,NV,1,1,7,320,lb,,,,,,Other,240,,,,USD
Aggregated Activity,LS-PNW-001,,LS-SAMPLE,Seattle WA,98101,Seattle WA,US,WA,13,9,150,4200,lb,,,,,,Parcel,1800,,,,USD
Aggregated Activity,LS-PNW-002,,LS-SAMPLE,Portland OR,97204,Portland OR,US,OR,10,8,110,3600,lb,,,,,,LTL,1350,,,,USD
